№;Дата вылета;Номер рейса;Аэропорт вылета;Аэропорт прилета;Время вылета;Время прилета;Емкость кабины;LF Кабина;Бронирования по кабинам;Тип ВС;Код кабины;Доход пасс;Пассажиры
6353-W;2024-11-22;209;PVG;SVO;11:45;16:50;48;0,6667;32;77W;W;17824,61;33
6353-Y;2024-11-22;209;PVG;SVO;11:45;16:50;324;0,9444;306;77W;Y;101696,63;306
6354-C;2024-11-22;224;SVO;SYX;15:10;06:00;28;0,1786;5;359;C;2862,41;5
6354-W;2024-11-22;224;SVO;SYX;15:10;06:00;24;0,25;6;359;W;2188,92;6
6354-Y;2024-11-22;224;SVO;SYX;15:10;06:00;264;0,2841;75;359;Y;14513,69;74
6355-C;2024-11-22;225;SYX;SVO;04:50;10:15;28;0,6071;17;359;C;5766,6;17
6355-Y;2024-11-22;225;SYX;SVO;04:50;10:15;264;0,4205;111;359;Y;29018,86;111
6356-C;2024-11-22;233;DEL;SVO;09:30;13:50;28;0,4643;13;359;C;8295,55;13
6356-W;2024-11-22;233;DEL;SVO;09:30;13:50;24;0,4167;10;359;W;3833,65;10
6356-Y;2024-11-22;233;DEL;SVO;09:30;13:50;264;1,0189;269;359;Y;57494,93;272
6357-C;2024-11-22;275;HKT;SVO;12:10;18:25;30;0,2667;8;77W;C;3536,2;8
6357-W;2024-11-22;275;HKT;SVO;12:10;18:25;48;0,3542;17;77W;W;7825,16;17
6357-Y;2024-11-22;275;HKT;SVO;12:10;18:25;324;0,6481;210;77W;Y;60132,03;211
6358-C;2024-11-22;321;MLE;SVO;11:00;18:00;30;0,8333;25;77W;C;40273,18;25
6358-W;2024-11-22;321;MLE;SVO;11:00;18:00;48;0,3958;19;77W;W;11202,43;21
6358-Y;2024-11-22;321;MLE;SVO;11:00;18:00;324;0,5556;180;77W;Y;46675,28;183
6359-C;2024-11-22;427;SSH;SVO;15:45;22:35;30;0,4667;14;77W;C;7051,42;14
6359-W;2024-11-22;427;SSH;SVO;15:45;22:35;48;0,2292;11;77W;W;3349,03;11
6359-Y;2024-11-22;427;SSH;SVO;15:45;22:35;324;0,1883;61;77W;Y;14063,13;63
6360-C;2024-11-22;521;DXB;SVO;16:35;21:25;30;0,9333;28;77W;C;40311,8;28
6360-W;2024-11-22;521;DXB;SVO;16:35;21:25;48;0,9375;45;77W;W;19198,04;45
6360-Y;2024-11-22;521;DXB;SVO;16:35;21:25;324;0,6235;202;77W;Y;38476,09;204
6361-C;2024-11-22;526;SVO;DXB;11:15;18:00;30;0,7;21;77W;C;20055,39;22
6361-W;2024-11-22;526;SVO;DXB;11:15;18:00;48;0,0625;3;77W;W;849,97;3
6361-Y;2024-11-22;526;SVO;DXB;11:15;18:00;324;0,2438;79;77W;Y;12679,14;79
6362-C;2024-11-22;1009;KGD;SVO;06:10;09:50;16;0,4375;7;32B;C;1119,37;7
6362-Y;2024-11-22;1009;KGD;SVO;06:10;09:50;167;1,0599;177;32B;Y;7553,23;178
6363-C;2024-11-22;1018;SVO;KGD;11:20;13:00;16;0,875;14;32B;C;2177,55;14
6363-W;2024-11-22;1018;SVO;KGD;11:20;13:00;29;0,7586;22;32B;W;2048,8;22
6363-Y;2024-11-22;1018;SVO;KGD;11:20;13:00;138;0,9783;135;32B;Y;4839,47;135
6364-C;2024-11-22;1054;SVO;MCX;10:35;13:40;8;0,375;3;32A;C;796,07;3
6364-Y;2024-11-22;1054;SVO;MCX;10:35;13:40;150;0,9933;149;32A;Y;5496,06;150
6365-Y;2024-11-22;1055;MCX;SVO;14:40;17:40;150;1,0467;157;32A;Y;8336,31;158
6366-C;2024-11-22;1129;AER;SVO;06:05;09:40;8;0,875;7;32A;C;2504,41;7
6366-Y;2024-11-22;1129;AER;SVO;06:05;09:40;150;1,0;150;32A;Y;11552,57;152
6367-C;2024-11-22;1141;AER;SVO;21:20;00:45;20;0,15;3;73H;C;323,78;3
6367-Y;2024-11-22;1141;AER;SVO;21:20;00:45;138;1,0725;148;73H;Y;10100,7;151
6368-C;2024-11-22;1190;SVO;KZN;10:40;12:20;16;0,875;14;32B;C;5170,56;14
6368-Y;2024-11-22;1190;SVO;KZN;10:40;12:20;167;1,024;171;32B;Y;9009,13;171
6369-C;2024-11-22;1191;KZN;SVO;13:20;15:05;16;0,6875;11;32B;C;2356,87;11
6369-Y;2024-11-22;1191;KZN;SVO;13:20;15:05;167;0,982;164;32B;Y;8443,25;166
6370-C;2024-11-22;1246;SVO;REN;06:55;11:20;8;0,25;2;32A;C;567,38;2
6370-Y;2024-11-22;1246;SVO;REN;06:55;11:20;150;1,0333;155;32A;Y;6566,31;157
6371-C;2024-11-22;1276;SVO;KZN;08:10;09:50;16;0,5625;9;32B;C;1829,35;9
6371-Y;2024-11-22;1276;SVO;KZN;08:10;09:50;167;0,994;166;32B;Y;6857,21;166
6372-C;2024-11-22;1277;KZN;SVO;10:40;12:25;16;0,25;4;32B;C;917,69;4
6372-Y;2024-11-22;1277;KZN;SVO;10:40;12:25;167;1,0838;181;32B;Y;9056,0;181
6373-C;2024-11-22;1478;SVO;ABA;23:55;08:45;20;0,05;1;73H;C;368,55;1
6373-Y;2024-11-22;1478;SVO;ABA;23:55;08:45;138;1,1449;158;73H;Y;14944,49;158
6374-C;2024-11-22;1479;ABA;SVO;09:55;11:05;20;0,65;13;73H;C;7127,3;13
6374-Y;2024-11-22;1479;ABA;SVO;09:55;11:05;138;0,9928;137;73H;Y;18448,58;137
6375-C;2024-11-22;1524;SVO;RGK;00:05;08:35;20;0,25;5;73H;C;1133,63;5
6375-Y;2024-11-22;1524;SVO;RGK;00:05;08:35;138;0,8696;120;73H;Y;10390,28;121
6376-C;2024-11-22;1525;RGK;SVO;11:45;12:40;20;0,7;14;73H;C;6398,54;14
6376-Y;2024-11-22;1525;RGK;SVO;11:45;12:40;138;0,971;134;73H;Y;11320,27;135
6377-C;2024-11-22;1713;KHV;SVO;14:35;15:55;30;0,7333;22;77W;C;13588,51;22
6377-W;2024-11-22;1713;KHV;SVO;14:35;15:55;48;0,9792;47;77W;W;12639,01;48
6377-Y;2024-11-22;1713;KHV;SVO;14:35;15:55;324;0,9877;320;77W;Y;33619,04;324
6378-C;2024-11-22;2142;SVO;AYT;11:25;16:30;16;0,6875;11;32B;C;5450,01;11
6378-Y;2024-11-22;2142;SVO;AYT;11:25;16:30;167;0,2036;34;32B;Y;4422,68;34
6379-C;2024-11-22;2143;AYT;SVO;17:30;22:30;16;0,875;14;32B;C;8997,41;14
6379-Y;2024-11-22;2143;AYT;SVO;17:30;22:30;167;0,3892;65;32B;Y;15163,78;70
6380-C;2024-11-22;6568;AER;LED;08:00;12:25;8;0,625;5;319;C;2032,16;5
6380-Y;2024-11-22;6568;AER;LED;08:00;12:25;120;0,9667;116;319;Y;9008,62;116
6381-C;2024-11-22;6574;KJA;LED;21:30;22:40;8;0,75;6;319;C;1606,76;6
6381-Y;2024-11-22;6574;KJA;LED;21:30;22:40;120;0,95;114;319;Y;12220,83;114
6382-C;2024-10-22;209;PVG;SVO;11:40;16:20;28;0,6786;19;77W;C;16080,34;19
6382-W;2024-10-22;209;PVG;SVO;11:40;16:20;24;0,7083;17;77W;W;7800,91;17
6382-Y;2024-10-22;209;PVG;SVO;11:40;16:20;375;0,7733;290;77W;Y;63536,29;293
6383-C;2024-10-22;225;SYX;SVO;04:50;10:25;28;0,2857;8;359;C;4198,61;8
6383-Y;2024-10-22;225;SYX;SVO;04:50;10:25;264;0,5606;148;359;Y;36120,9;151
6384-C;2024-10-22;233;DEL;SVO;05:00;09:00;28;0,5714;16;359;C;9525,72;16
6384-W;2024-10-22;233;DEL;SVO;05:00;09:00;24;0,2917;7;359;W;2172,28;7
6384-Y;2024-10-22;233;DEL;SVO;05:00;09:00;264;1,0;264;359;Y;58727,34;265
6385-C;2024-10-22;275;HKT;SVO;10:35;16:40;30;0,1333;4;77W;C;3787,11;4
6385-W;2024-10-22;275;HKT;SVO;10:35;16:40;48;0,125;6;77W;W;2960,93;6
6385-Y;2024-10-22;275;HKT;SVO;10:35;16:40;324;0,3086;100;77W;Y;24833,91;102
6386-C;2024-10-22;321;MLE;SVO;11:05;17:35;28;0,4286;12;359;C;13445,13;12
6386-W;2024-10-22;321;MLE;SVO;11:05;17:35;24;0,875;21;359;W;9860,44;21
6386-Y;2024-10-22;321;MLE;SVO;11:05;17:35;264;0,5379;142;359;Y;37536,86;143
6387-C;2024-10-22;427;SSH;SVO;16:30;22:30;30;0,4667;14;77W;C;5170,23;14
6387-W;2024-10-22;427;SSH;SVO;16:30;22:30;48;0,0208;1;77W;W;54,63;1
6387-Y;2024-10-22;427;SSH;SVO;16:30;22:30;324;0,1759;57;77W;Y;12827,26;61
6388-C;2024-10-22;521;DXB;SVO;16:05;20:50;30;0,3667;11;77W;C;10548,62;11
6388-W;2024-10-22;521;DXB;SVO;16:05;20:50;48;0,4583;22;77W;W;7110,65;23
6388-Y;2024-10-22;521;DXB;SVO;16:05;20:50;324;0,2747;89;77W;Y;14566,78;90
6389-C;2024-10-22;526;SVO;DXB;09:30;16:20;20;0,75;15;73H;C;11149,37;15
6389-Y;2024-10-22;526;SVO;DXB;09:30;16:20;138;0,5725;79;73H;Y;16284,08;81
6390-C;2024-10-22;638;VVO;HKT;17:30;21:50;30;0,6667;20;77W;C;16578,09;20
6390-W;2024-10-22;638;VVO;HKT;17:30;21:50;48;0,3125;15;77W;W;7628,77;15
6390-Y;2024-10-22;638;VVO;HKT;17:30;21:50;324;0,4907;159;77W;Y;47899,9;159
6391-Y;2024-10-22;851;SYX;KHV;01:30;09:30;138;0,587;81;73H;Y;16508,09;82
6392-C;2024-10-22;1018;SVO;KGD;12:05;13:40;16;0,4375;7;32B;C;1033,78;7
6392-Y;2024-10-22;1018;SVO;KGD;12:05;13:40;167;0,7006;117;32B;Y;4837,95;117
6393-C;2024-10-22;1129;AER;SVO;19:35;23:05;8;0,75;6;32A;C;1415,05;6
6393-Y;2024-10-22;1129;AER;SVO;19:35;23:05;150;0,9867;148;32A;Y;7930,67;150
6394-C;2024-10-22;1141;AER;SVO;06:20;09:50;8;0,5;4;32A;C;631,45;4
6394-Y;2024-10-22;1141;AER;SVO;06:20;09:50;150;1,0267;154;32A;Y;9511,26;155
6395-C;2024-10-22;1190;SVO;KZN;09:20;11:00;28;0,3571;10;321;C;6369,61;10
6395-Y;2024-10-22;1190;SVO;KZN;09:20;11:00;142;0,6479;92;321;Y;3251,45;92
6396-C;2024-10-22;1191;KZN;SVO;11:50;13:30;28;0,1071;3;321;C;622,82;3
6396-Y;2024-10-22;1191;KZN;SVO;11:50;13:30;142;0,838;119;321;Y;4812,92;119
6397-C;2024-10-22;1276;SVO;KZN;13:05;14:40;20;0,65;13;73H;C;9532,46;13
6397-Y;2024-10-22;1276;SVO;KZN;13:05;14:40;138;0,7971;110;73H;Y;5258,71;110
6398-C;2024-10-22;1277;KZN;SVO;15:30;17:10;20;0,4;8;73H;C;1962,39;8
6398-Y;2024-10-22;1277;KZN;SVO;15:30;17:10;138;0,9058;125;73H;Y;4218,99;125
6399-C;2024-10-22;1478;SVO;ABA;00:10;08:50;8;0,625;5;32A;C;1397,62;5
6399-Y;2024-10-22;1478;SVO;ABA;00:10;08:50;150;1,0133;152;32A;Y;14936,21;153
6400-C;2024-10-22;1479;ABA;SVO;10:00;11:00;8;0,5;4;32A;C;1410,4;4
6400-Y;2024-10-22;1479;ABA;SVO;10:00;11:00;150;1,0333;155;32A;Y;13471,35;156
6401-C;2024-10-22;1524;SVO;RGK;00:10;08:35;28;0,4643;13;321;C;6620,73;13
6401-Y;2024-10-22;1524;SVO;RGK;00:10;08:35;142;1,1056;157;321;Y;12114,13;159
6402-C;2024-10-22;1525;RGK;SVO;11:20;11:50;28;0,4643;13;321;C;5843,36;13
6402-Y;2024-10-22;1525;RGK;SVO;11:20;11:50;142;1,0;142;321;Y;14382,75;142
6403-C;2024-10-22;1713;KHV;SVO;16:40;17:45;28;0,2143;6;359;C;2559,77;6
6403-W;2024-10-22;1713;KHV;SVO;16:40;17:45;24;0,9583;23;359;W;6759,32;23
6403-Y;2024-10-22;1713;KHV;SVO;16:40;17:45;264;1,0265;271;359;Y;26562,88;273
6404-C;2024-10-22;2142;SVO;AYT;08:00;12:50;30;0,2667;8;77W;C;2942,46;8
6404-W;2024-10-22;2142;SVO;AYT;08:00;12:50;48;0,0417;2;77W;W;444,1;2
6404-Y;2024-10-22;2142;SVO;AYT;08:00;12:50;324;0,1265;41;77W;Y;6888,79;44
6405-C;2024-10-22;2143;AYT;SVO;14:20;19:20;30;0,5333;16;77W;C;13796,47;16
6405-W;2024-10-22;2143;AYT;SVO;14:20;19:20;48;0,1667;8;77W;W;2753,94;8
6405-Y;2024-10-22;2143;AYT;SVO;14:20;19:20;324;0,4506;146;77W;Y;30135,74;146
6406-C;2024-10-22;6568;AER;LED;01:35;05:50;12;0,25;3;320;C;897,3;3
6406-Y;2024-10-22;6568;AER;LED;01:35;05:50;156;0,9423;147;320;Y;11733,65;147
6407-C;2024-10-22;6574;KJA;LED;06:15;07:20;12;0,4167;5;73H;C;1490,61;5
6407-Y;2024-10-22;6574;KJA;LED;06:15;07:20;156;0,9167;143;73H;Y;12053,89;147
6408-W;2024-10-22;6792;SVX;KJA;22:30;03:35;5;0,2;1;SU9;W;88,92;1
6408-Y;2024-10-22;6792;SVX;KJA;22:30;03:35;95;1,0105;96;SU9;Y;6148,14;96
6409-C;2024-12-11;209;PVG;SVO;11:45;16:50;30;0,8333;25;77W;C;24385,43;25
6409-W;2024-12-11;209;PVG;SVO;11:45;16:50;48;0,6042;29;77W;W;11216,84;29
6409-Y;2024-12-11;209;PVG;SVO;11:45;16:50;324;0,7346;238;77W;Y;51405,73;241
6410-C;2024-12-11;224;SVO;SYX;12:30;03:20;28;0,0714;2;333;C;0,0;2
6410-Y;2024-12-11;224;SVO;SYX;12:30;03:20;268;0,3209;86;333;Y;15316,5;86
6411-C;2024-12-11;233;DEL;SVO;05:50;10:10;28;0,6071;17;359;C;8603,64;19
6411-Y;2024-12-11;233;DEL;SVO;05:50;10:10;264;0,8485;224;359;Y;39580,79;225
6412-C;2024-12-11;275;HKT;SVO;12:10;18:25;30;0,2333;7;77W;C;6758,94;7
6412-W;2024-12-11;275;HKT;SVO;12:10;18:25;48;0,1458;7;77W;W;3888,25;7
6412-Y;2024-12-11;275;HKT;SVO;12:10;18:25;324;0,3796;123;77W;Y;29846,14;125
6413-C;2024-12-11;321;MLE;SVO;11:00;18:00;30;0,5333;16;77W;C;17957,83;16
6413-W;2024-12-11;321;MLE;SVO;11:00;18:00;48;0,0833;4;77W;W;1762,64;4
6413-Y;2024-12-11;321;MLE;SVO;11:00;18:00;324;0,0772;25;77W;Y;6039,68;26
6414-C;2024-12-11;427;SSH;SVO;15:45;22:35;30;0,2333;7;77W;C;3347,4;11
6414-W;2024-12-11;427;SSH;SVO;15:45;22:35;48;0,0;0;77W;W;242,36;1
6414-Y;2024-12-11;427;SSH;SVO;15:45;22:35;324;0,1636;53;77W;Y;8283,54;53
6415-C;2024-12-11;521;DXB;SVO;16:35;21:25;30;0,8667;26;77W;C;18190,19;29
6415-W;2024-12-11;521;DXB;SVO;16:35;21:25;48;0,9167;44;77W;W;18409,62;44
6415-Y;2024-12-11;521;DXB;SVO;16:35;21:25;324;0,4691;152;77W;Y;27395,03;159
6416-C;2024-12-11;526;SVO;DXB;11:15;18:00;28;0,5;14;333;C;11342,79;14
6416-Y;2024-12-11;526;SVO;DXB;11:15;18:00;268;0,3209;86;333;Y;15111,76;86
6417-C;2024-12-11;638;VVO;HKT;03:15;08:00;30;0,7333;22;77W;C;18982,03;22
6417-W;2024-12-11;638;VVO;HKT;03:15;08:00;48;0,3542;17;77W;W;7346,64;17
6417-Y;2024-12-11;638;VVO;HKT;03:15;08:00;324;0,3673;119;77W;Y;29994,2;119
6418-C;2024-12-11;1009;KGD;SVO;06:10;09:50;16;0,4375;7;32B;C;840,66;7
6418-Y;2024-12-11;1009;KGD;SVO;06:10;09:50;167;1,0599;177;32B;Y;7240,65;177
6419-C;2024-12-11;1018;SVO;KGD;11:20;13:00;16;0,375;6;32B;C;556,76;6
6419-W;2024-12-11;1018;SVO;KGD;11:20;13:00;29;0,069;2;32B;W;207,09;2
6419-Y;2024-12-11;1018;SVO;KGD;11:20;13:00;138;1,1232;155;32B;Y;6169,01;155
6420-C;2024-12-11;1054;SVO;MCX;10:35;13:40;20;0,3;6;73H;C;1269,59;6
6420-Y;2024-12-11;1054;SVO;MCX;10:35;13:40;138;0,9928;137;73H;Y;5120,39;137
6421-C;2024-12-11;1055;MCX;SVO;14:40;17:45;20;0,1;2;73H;C;209,46;2
6421-Y;2024-12-11;1055;MCX;SVO;14:40;17:45;138;1,029;142;73H;Y;8467,19;150
6422-C;2024-12-11;1129;AER;SVO;06:05;09:40;8;0,5;4;32A;C;1042,81;4
6422-Y;2024-12-11;1129;AER;SVO;06:05;09:40;150;1,04;156;32A;Y;6966,47;158
6423-C;2024-12-11;1141;AER;SVO;21:20;00:45;28;0,1071;3;321;C;914,29;3
6423-Y;2024-12-11;1141;AER;SVO;21:20;00:45;142;1,1549;164;321;Y;5801,5;165
6424-C;2024-12-11;1190;SVO;KZN;10:40;12:20;8;0,625;5;32A;C;1145,89;5
6424-Y;2024-12-11;1190;SVO;KZN;10:40;12:20;150;1,0333;155;32A;Y;5232,4;160
6425-C;2024-12-11;1191;KZN;SVO;13:20;15:05;8;0,5;4;32A;C;534,89;4
6425-Y;2024-12-11;1191;KZN;SVO;13:20;15:05;150;0,9067;136;32A;Y;5374,4;139
6426-C;2024-12-11;1246;SVO;REN;06:55;11:20;16;0,25;4;32B;C;549,4;4
6426-Y;2024-12-11;1246;SVO;REN;06:55;11:20;167;1,0359;173;32B;Y;13308,01;173
6427-C;2024-12-11;1276;SVO;KZN;08:10;10:00;16;0,25;4;32B;C;814,81;4
6427-Y;2024-12-11;1276;SVO;KZN;08:10;10:00;167;0,9461;158;32B;Y;5839,45;158
6428-C;2024-12-11;1277;KZN;SVO;10:50;12:35;16;0,625;10;32B;C;1785,84;10
6428-Y;2024-12-11;1277;KZN;SVO;10:50;12:35;167;1,006;168;32B;Y;8062,87;172
6429-C;2024-12-11;1479;ABA;SVO;09:55;11:00;20;0,2;4;73H;C;1885,75;4
6429-Y;2024-12-11;1479;ABA;SVO;09:55;11:00;138;1,0362;143;73H;Y;20506,89;144
6430-C;2024-12-11;1524;SVO;RGK;03:05;11:35;20;0,8;16;73H;C;6390,12;16
6430-Y;2024-12-11;1524;SVO;RGK;03:05;11:35;138;1,029;142;73H;Y;12583,53;144
6431-C;2024-12-11;1525;RGK;SVO;11:45;12:40;20;0,65;13;73H;C;7165,16;15
6431-Y;2024-12-11;1525;RGK;SVO;11:45;12:40;138;1,0;138;73H;Y;17468,6;138
6432-C;2024-12-11;1713;KHV;SVO;14:35;15:55;30;0,6333;19;77W;C;14409,59;19
6432-W;2024-12-11;1713;KHV;SVO;14:35;15:55;48;0,4792;23;77W;W;5427,87;23
6432-Y;2024-12-11;1713;KHV;SVO;14:35;15:55;324;1,0802;350;77W;Y;35476,6;348
6433-C;2024-12-11;2142;SVO;AYT;11:25;16:30;20;0,85;17;73H;C;7373,79;17
6433-Y;2024-12-11;2142;SVO;AYT;11:25;16:30;138;0,6087;84;73H;Y;10433,64;85
6434-C;2024-12-11;2143;AYT;SVO;17:30;22:30;20;0,35;7;73H;C;3153,24;7
6434-Y;2024-12-11;2143;AYT;SVO;17:30;22:30;138;0,2754;38;73H;Y;5569,14;42
6435-C;2024-12-11;6574;KJA;LED;20:45;21:40;8;1,0;8;319;C;3556,75;8
6435-Y;2024-12-11;6574;KJA;LED;20:45;21:40;120;0,975;117;319;Y;13439,95;119
6436-C;2025-01-24;209;PVG;SVO;11:45;16:50;30;0,8333;25;77W;C;22791,69;25
6436-W;2025-01-24;209;PVG;SVO;11:45;16:50;48;0,8958;43;77W;W;27991,66;43
6436-Y;2025-01-24;209;PVG;SVO;11:45;16:50;324;1,0278;333;77W;Y;84247,07;335
6437-C;2025-01-24;224;SVO;SYX;15:10;06:00;28;0,1071;3;333;C;1258,97;3
6437-Y;2025-01-24;224;SVO;SYX;15:10;06:00;268;0,1754;47;333;Y;10574,68;47
6438-C;2025-01-24;225;SYX;SVO;04:50;10:35;28;0,2857;8;359;C;5251,79;8
6438-W;2025-01-24;225;SYX;SVO;04:50;10:35;24;0,0833;2;359;W;762,23;2
6438-Y;2025-01-24;225;SYX;SVO;04:50;10:35;264;0,3523;93;359;Y;24732,81;95
6439-C;2025-01-24;233;DEL;SVO;05:50;10:10;28;0,2857;8;333;C;4443,9;8
6439-Y;2025-01-24;233;DEL;SVO;05:50;10:10;268;0,9403;252;333;Y;55293,15;252
6440-C;2025-01-24;275;HKT;SVO;12:10;18:25;28;0,6786;19;77W;C;19969,48;19
6440-W;2025-01-24;275;HKT;SVO;12:10;18:25;24;0,8333;20;77W;W;13588,91;20
6440-Y;2025-01-24;275;HKT;SVO;12:10;18:25;375;0,672;252;77W;Y;88833,93;268
6441-C;2025-01-24;321;MLE;SVO;11:00;18:00;28;0,5357;15;359;C;22114,35;15
6441-W;2025-01-24;321;MLE;SVO;11:00;18:00;24;0,9583;23;359;W;11105,87;24
6441-Y;2025-01-24;321;MLE;SVO;11:00;18:00;264;0,4621;122;359;Y;33146,07;122
6442-C;2025-01-24;427;SSH;SVO;15:45;22:35;30;0,2;6;77W;C;1826,69;6
6442-W;2025-01-24;427;SSH;SVO;15:45;22:35;48;0,0625;3;77W;W;546,82;3
6442-Y;2025-01-24;427;SSH;SVO;15:45;22:35;324;0,0864;28;77W;Y;5443,76;28
6443-C;2025-01-24;521;DXB;SVO;16:35;21:25;30;0,9;27;77W;C;23617,11;28
6443-W;2025-01-24;521;DXB;SVO;16:35;21:25;48;0,6875;33;77W;W;12180,14;33
6443-Y;2025-01-24;521;DXB;SVO;16:35;21:25;324;0,2191;71;77W;Y;13171,94;72
6444-C;2025-01-24;526;SVO;DXB;11:15;18:00;20;0,6;12;73H;C;6724,81;12
6444-Y;2025-01-24;526;SVO;DXB;11:15;18:00;138;0,471;65;73H;Y;8748,56;65
6445-C;2025-01-24;1009;KGD;SVO;06:10;09:50;16;0,1875;3;32B;C;443,58;3
6445-Y;2025-01-24;1009;KGD;SVO;06:10;09:50;167;0,976;163;32B;Y;6735,99;163
6446-C;2025-01-24;1018;SVO;KGD;11:20;13:00;12;0,9167;11;32Q;C;1912,15;11
6446-W;2025-01-24;1018;SVO;KGD;11:20;13:00;30;0,2;6;32Q;W;480,83;6
6446-Y;2025-01-24;1018;SVO;KGD;11:20;13:00;154;1,1169;172;32Q;Y;6995,04;173
6447-C;2025-01-24;1054;SVO;MCX;10:35;13:40;8;0,375;3;32A;C;713,15;3
6447-Y;2025-01-24;1054;SVO;MCX;10:35;13:40;150;0,8467;127;32A;Y;4255,2;128
6448-C;2025-01-24;1055;MCX;SVO;14:40;17:45;8;0,375;3;32A;C;537,45;3
6448-Y;2025-01-24;1055;MCX;SVO;14:40;17:45;150;0,88;132;32A;Y;5982,91;136
6449-C;2025-01-24;1129;AER;SVO;06:05;09:40;8;0,5;4;32A;C;668,39;4
6449-Y;2025-01-24;1129;AER;SVO;06:05;09:40;150;1,0133;152;32A;Y;8708,49;153
6450-C;2025-01-24;1141;AER;SVO;21:20;00:45;28;0,5;14;321;C;3588,48;14
6450-Y;2025-01-24;1141;AER;SVO;21:20;00:45;142;0,6268;89;321;Y;6234,35;90
6451-C;2025-01-24;1190;SVO;KZN;10:40;12:20;16;0,3125;5;32B;C;700,82;5
6451-Y;2025-01-24;1190;SVO;KZN;10:40;12:20;167;1,0359;173;32B;Y;6441,54;174
6452-C;2025-01-24;1191;KZN;SVO;13:20;15:05;16;0,3125;5;32B;C;853,72;5
6452-Y;2025-01-24;1191;KZN;SVO;13:20;15:05;167;0,8982;150;32B;Y;4349,72;151
6453-Y;2025-01-24;1246;SVO;REN;06:55;11:20;150;1,04;156;32A;Y;5201,58;158
6454-C;2025-01-24;1276;SVO;KZN;07:55;09:50;8;0,75;6;32A;C;1039,46;6
6454-Y;2025-01-24;1276;SVO;KZN;07:55;09:50;150;0,88;132;32A;Y;3784,64;133
6455-C;2025-01-24;1277;KZN;SVO;10:40;12:25;8;0,125;1;32A;C;132,06;1
6455-Y;2025-01-24;1277;KZN;SVO;10:40;12:25;150;0,94;141;32A;Y;3783,73;141
6456-C;2025-01-24;1478;SVO;ABA;23:55;08:45;20;0,4;8;73H;C;2844,28;8
6456-Y;2025-01-24;1478;SVO;ABA;23:55;08:45;138;0,7899;109;73H;Y;8752,76;110
6457-C;2025-01-24;1479;ABA;SVO;09:55;11:00;20;0,2;4;73H;C;1638,76;4
6457-Y;2025-01-24;1479;ABA;SVO;09:55;11:00;138;0,9638;133;73H;Y;11184,59;133
6458-C;2025-01-24;1524;SVO;RGK;00:05;08:35;20;0,95;19;73H;C;6884,31;19
6458-Y;2025-01-24;1524;SVO;RGK;00:05;08:35;138;0,8188;113;73H;Y;14185,44;116
6459-C;2025-01-24;1525;RGK;SVO;11:45;12:35;20;0,75;15;73H;C;6121,63;15
6459-Y;2025-01-24;1525;RGK;SVO;11:45;12:35;138;0,9203;127;73H;Y;13616,91;129
6460-C;2025-01-24;2142;SVO;AYT;11:25;16:30;12;0,5;6;32Q;C;2270,9;6
6460-Y;2025-01-24;2142;SVO;AYT;11:25;16:30;184;0,2663;49;32Q;Y;6112,07;49
6461-C;2025-01-24;2143;AYT;SVO;17:30;22:30;12;0,0833;1;32Q;C;483,67;1
6461-Y;2025-01-24;2143;AYT;SVO;17:30;22:30;184;0,462;85;32Q;Y;20617,63;88
6462-C;2025-01-24;6574;KJA;LED;21:30;22:30;8;0,375;3;319;C;405,41;3
6462-Y;2025-01-24;6574;KJA;LED;21:30;22:30;120;0,7833;94;319;Y;8690,43;96
6463-C;2024-08-02;209;PVG;SVO;11:40;16:20;28;0,6786;19;77W;C;16145,24;19
6463-W;2024-08-02;209;PVG;SVO;11:40;16:20;24;0,7917;19;77W;W;8779,25;19
6463-Y;2024-08-02;209;PVG;SVO;11:40;16:20;375;0,6347;238;77W;Y;43377,94;238
6464-C;2024-08-02;225;SYX;SVO;04:50;10:45;28;0,0714;2;333;C;637,64;2
6464-Y;2024-08-02;225;SYX;SVO;04:50;10:45;268;0,5149;138;333;Y;32126,94;138
6465-C;2024-08-02;233;DEL;SVO;05:00;09:00;20;0,4;8;73H;C;4869,11;8
6465-Y;2024-08-02;233;DEL;SVO;05:00;09:00;138;1,0072;139;73H;Y;31320,82;140
6466-C;2024-08-02;275;HKT;SVO;10:35;16:35;28;0,1429;4;359;C;2334,3;4
6466-W;2024-08-02;275;HKT;SVO;10:35;16:35;24;0,2083;5;359;W;2103,19;5
6466-Y;2024-08-02;275;HKT;SVO;10:35;16:35;264;0,5341;141;359;Y;37291,67;140
6467-C;2024-08-02;321;MLE;SVO;11:05;17:35;30;0,5667;17;77W;C;26950,59;17
6467-W;2024-08-02;321;MLE;SVO;11:05;17:35;48;0,8125;39;77W;W;22413,75;39
6467-Y;2024-08-02;321;MLE;SVO;11:05;17:35;324;0,4568;148;77W;Y;49859,41;148
6468-C;2024-08-02;427;SSH;SVO;16:30;22:30;28;0,1786;5;333;C;1107,06;5
6468-Y;2024-08-02;427;SSH;SVO;16:30;22:30;268;0,1007;27;333;Y;3789,17;27
6469-C;2024-08-02;521;DXB;SVO;16:05;20:50;20;0,05;1;73H;C;64,44;1
6469-Y;2024-08-02;521;DXB;SVO;16:05;20:50;138;0,3768;52;73H;Y;9401,1;53
6470-C;2024-08-02;638;VVO;HKT;15:30;20:30;30;0,4333;13;77W;C;8709,33;13
